tweet,labels
@h_irish37 @Gerard39delaney Batches of Moderna vaccine was contaminated with stainless steel particles. Most stainless steel is magnetic.,ingredients
@Tonyjc1990 @BorisJohnson @MattHancock 100 folks in Washington State have Covid after having the vaccine. The vaccine cannot confer immunity. It should only be given to the elderly and those who will not survive SARS2.,ineffective
"@WHO We should use IVERMECTINE to treat COVID early to prevent hospitalizations/deaths. 2 rapid antigen tests within 48 hours would be the best pre-flight verification of not being infected! Lockdowns, mask mandates, COVID passports should be cancelled immediately. No mass vaccination https://t.co/McJ8cyEb51",mandatory unnecessary
"@Krosecz @KaiserNeko Yeah, there is also a chance the virus mutates to fend off the vaccine since I see way too many people treating the vaccine like it’s the end of the pandemic. It only boosts your immune system against the virus, it doesn’t make you immune.",ineffective
"Dr Fauci is now saying that children, who have basically zero risk from this virus, cannot play together without masks until they're vaccinated. I still can't believe people believe this fraud https://t.co/deX5xCPb03",mandatory unnecessary
"Very detailed - and worrisome - explanation of the reported allergic reaction to the Pfizer vaccine, read and Bookmark. Countries approving this vaccine not doing even the least amount of diligence.",side-effect
@CNN Don’t mean shit because we won’t be getting vaccinated any time soon. Thanks Trump!,political
"Johnson & Johnson gives women cancer, scams the system to avoid accountability but their COVID-19 vaccine is straight fire.",side-effect pharma
Pfizer Vaccine Linked to First Death & Birth Defects https://t.co/Ob040TREe3,side-effect
@bobsnee @OHAOregon @OregonGovBrown @Oregon_GOP @realDonaldTrump I listened in to a house health committee meeting in the fall in which a Pfizer rep said the biggest obstacle was getting people to be willing to take the vaccine. Seems like our government is one huge marketing arm of pharma,pharma political
@OANN U.K. Glaxo Smith Klein whistleblower who has found antigens in the upcoming Covid vaccine that cause sterility in 97% of the animals tested. https://t.co/2AniAedBSy,rushed
"Researchers say AstraZeneca vaccine can cause thrombosis in BRAIN in ‘rare’ cases as WHO says it is ‘not certain’ about it https://t.co/efpQ9mLt1m Published March 19, 2021@7:33pm #News",side-effect
@Virgakc52 I was offered a day ago and refused. I have never been one to suffer from that kind of thing. The bones and joints are failing but the immune system is decent so I will hang fire for the moment. I retain the right to change my mind. Same with the Corona vaccine.,unnecessary
"@Peston @NYT @pfizer And how exactly do you know there won't be any serious side effects, when it takes YEARS to test a vaccine for that sort of thing?? You will not see those side effects that soon, people better wake up.",side-effect rushed
"@vivekuksood @draghafur @dwai_banerjee @venkat_id Not just ego. Sinovac's coronavac Brazil just 50.4% efficacy & same inactivated whole virus approach. By the time this is known, millions of dollars vaccine sold off. Technically it will be a vaccine. Plus public trial is not double blind, so placebo bias will make it look good.",ineffective rushed pharma
Pfizer themselves say there is no evidence the vaccine will work with delay for second dose over 3 weeks. This is more criminal madness,ineffective
THEY DO NOT NEED IT: Pfizer says its COVID-19 vaccine protects younger teens | Daily Mail Online https://t.co/akMcEXAIl4,unnecessary
SO KILL GRANNY AGAIN Coronavirus jab from Pfizer/ BioNTech approved for roll out in days https://t.co/Svhp32zITx via @MailOnline,side-effect
#MAGA2020 #Trump #Trump2020 #Republicans I really like Trump and hope he gets reelected. But in this case he is wrong! Not even the Chinese have an isolate of the Corona virus yet! So how do they plan to produce a vaccine? And pls inject the Dems first! https://t.co/o4OMvfkTZT,political
@DT_weeeee I’ve read that having had covid makes side effects worse for the vaccine because you already have antibodies thus making your immune response worse. For the Pfizer and moderne shots some scientist are thinking you only need on of the shots if you already covid. Kinda interesting,side-effect
"Those clever Chinese, using other county's citz for their COVID-19 vaccine lab rats. China Vaccine Trial Halted After Serious Adverse Event https://t.co/GFgfRYJR9r",side-effect
"@DLP0205 @afomich @CNN @CNNOpinion Non sequitur... I’ve had measles, I’ve had family members with polio, I’ve seen the reproducible direct adverse side effect of vaccination. For some unlucky people vaccination becomes a death sentence. That is an undeniable fact that is being hidden by half truths and rhetoric.",side-effect
"Media Hypes Moderna’s COVID Vaccine, Downplays Risks • Children's Health Defense https://t.co/odVPoMWFlC",pharma
Knowing they put RNA in the corona vaccine. Are you going to take the vaccine,ingredients
@MrBOTUS_520 I honestly don’t think a covid vaccine will be rolled out for school kids by Oct/Nov. And wouldn’t a vac authorized for use on children need to be tested on school age children first? Covid vaccines have the potential to provoke #ADE & the perps know it. https://t.co/kz2dcvtmJR,side-effect rushed
"Will vaccine be contaminated? Is is true that big pharma has no liability. Why does ‘philanthropist’ own research, manufacturing, distribution of vaccines. But he wants a 20% return & openly talks of population reduction. I read his father into eugenics (Nazi?). Smell here!",pharma
@kodytisdale @scdhec And that would be exactly why kids aren't eligible to get the vaccine over here. They haven't run trials.,rushed
"@tylercowen @WhiteHouse @US_FDA @SteveFDA @pfizer You've got the misimpression of lives saved, magical powers of any vaccine. The only thing out there is so far is a company press release. The data have to be thoroughly reviewed internally FDA and externally. It is being done in a hyper-accelerated way.",rushed
"@TheRealOJ32 Ummm... why did you get a vaccine? You aren’t elderly, a teacher or immune compromised. Oh yeah, money talks right? #YouArePathetic",pharma
@bertusshark @Dick_Muller Ok so the facts .... vaccines take a while to “kick in” and become protective (even the flu vaccine takes 2 weeks) One is only considered protected 2-3 weeks after 2nd Pfizer dose .. so unfortunately these people weren’t yet protected,ineffective
"No #lockdown or #vaccine necessary, just “take 2 and call me in the morning” Maryland study shows 47% reduction in deaths with baby ASPIRIN — FAR MORE effective than Fauci’s expensive and dangerous Remdesivir (which had NO reduction) #OperationWarpSpeed https://t.co/kdmiudfMn5",side-effect unnecessary rushed
@theosanderson Perhaps you could explain to me why my sister contracted Covid on Day 16 if you have 86% efficacy on Day 10? She had the Pfizer vaccine. Her NHS Trust has gone against govt guidelines and are giving the second dose in accordance with Pfizer's recommendation,ineffective
"@thewibblemovem1 @Louisearnold0 @Swandiggidy I am. I got them as a kid. I’ve never chosen to get one or gotten one as an adult. I’ve never gotten a flu shot, I never will. I will never get another vaccine. Definitely not the Covid vax.",none
metro: 'Health worker in intensive care with severe reaction after Pfizer Covid vaccine' https://t.co/t551dH2XPa,side-effect
@ParisGm1 @7Kiwi @Blitzkrug93 @TheLastLeg Error. Even if you have the vaccine you can still catch/host it/transmit it. It just makes your symptoms less severe. Plus there will still be large parts of society that can’t get the vaccine for legimate reasons so this arguement makes no sense to me.,ineffective
"@therealmissjo Vaccinate the vulnerable & high risk if they want it, the over70s & the already medically compromised. With 2 doses. They should then be protected from a virus that is of 0.09% risk to healthy, younger people. Those that have had #covid have immunity so don't need 'vaccine'.",unnecessary
"@kimmagagal2 Tell them “see you in 2023” that is when this experimental vaccine will be fully considered having gone through human trials and we’ll know if it has worked, and that is only if we are told the truth!",rushed
"1/ Very interesting data worldwide on vaccination rates versus Covid cases and deaths. The short answer is that vaccine use is correlated slightly positively with both. BUT - a big but - this includes a lot of countries using the Chinese vaccines, which don't work very well...",side-effect country
Death of Ukrainian servicewoman after vaccination caused by acute circulatory disorders #AstraZeneca https://t.co/EF6KwBYfsf,side-effect
"@ItsGoneAwry It's not necessarily the vaccine itself that could cause harm... it's all the other crap they put in. Rising autism rates are obviously environmental in some sort of way, it's narrowing it down to exactly what babies are consuming that is causing it.",ingredients
"Good news, convinced my mom to cancel her appt to get the Pfizer vaccine tom. I think she is on board for #novax It's just not worth it",none
@PressSec @realDonaldTrump You mean the unproven shoddily tested Russian “vaccine”? I’m sure his master is shoving it down his throat now...,rushed
".@ Force-injecting citizens with a fast-tracked, experimental, liability-free vaccine is unethical and unconstitutional. Medical mandates don't belong in a free society. Let each person choose how they care for their bodies. #nomandates #noforcedcovidvaccines",mandatory rushed
@VirusesImmunity @Primary_Immune @aetiology @rjblaskiewicz There’s concern for PEG and mNeonGreen in the Pfizer vaccine candidate. It seems to be well founded as per what happened in the UK already. We need to see the ingredient lists for all of the candidates so people can make informed choices IMHO.,ingredients
The COVID Vaccine is ready with '90% effectiveness' finally announced through bioNTech and Pfizer on 9/11 right on cue after The U.S. s'Election.' What's that? You want to remove 90% of The Population? And alter the Human DNA with Robotic Nanotech for those whom remain?,conspiracy side-effect
At first they came for your minds.Fear Then they came for your freedoms. Lockdown. Followed by your rights to earn a living. Then they came for your body.Vaccination Now there coming for your kids bodies. Final part of play is they will own everything you posses including you,conspiracy
"@PlayContra @john_JustFacts Even when they say, ""The risk-versus-benefit assessment for use of AstraZeneca COVID-19 vaccine will be different for Australia compared to other countries, such as those with widespread transmission"" ... they STILL pick a lower age cutoff than countries with heaps more spread!!",side-effect
@JHowardBrainMD I’m old enough to remember when novavax’s RSV vaccine failed miserably.,ineffective
"Instead of putting all of our hope into a vaccine, why don't we treat people in early stages of Covid with HQC? This TREATMENT can be given safely even without a diagnosis!  Greatest tragedy of our lifetime. MSN will not tell the truth about this drug because they hate Trump!!",unnecessary
" https://t.co/XeE3r7siVX the number of deaths around the world that are being attributed to the Wuhan coronavirus (COVID-19) pales in comparison to the number of people who will be injured or killed by Wuhan coronavirus (COVID-19) vaccines, based on Gates’ own admission.",side-effect
‘Promising’ and ‘safe’ Moderna vaccine trial causes severe adverse events | Alliance For Natural Health https://t.co/QLrYwcz6qN,ineffective
@Lydia_Guthrie @MartinSLewis @MattHancock So does it mean you already have covid 19 to get them to see if they have a vaccine or will you have the Covid19 put into your body and they have to try and get rid of it. If the vaccine doesn't work then are they going to save your life if you end up on a ventilator.,ineffective
@reasonoverfear Pfizer's vaccine efficacy of 94.5% is only within 7 days of the second vaccination...how it can be approved on this basis is a joke.,ineffective
@LotusOak2 @RobertKennedyJr Is @pfizer misleading the public with its 90% effective claim of its #Covid_19 #vaccines,ineffective
"'cause [DS] wants to 'brand' us, as if we're [their] chattel (pets casting votes in CA, btw). Further, POTUS has never called Regeneron a vaccine. He's consistently advocated for alternatives to vaccines. Then, the Pfizer guy resigns the very Day FDA announces? Hmmph.",conspiracy
"VP of Pfizer: ""Vaccine safety trials are supposed to be third-party and independent, but the money won’t keep coming unless they say what you want them to say. The insiders know this is how things work. Only the public doesn’t know it."" VaxScience=bought. https://t.co/16OLl3H8hx",pharma
"Garbage vac must bee ban . it is blood clot in Denmark 3 ppl, in Austria 1 ppl . in Irish too .not effective with south Africa covid ban .rish Mirror: Use of AstraZeneca vaccine suspended in Ireland after new blood clotting reports. https://t.co/NqKgh3OlXp via @GoogleNews",side-effect
Utterly bananas to rush this Pfizer product to market. Pfizer received the biggest criminal fine in history for dodgy products- and we’re the first country to get their vaccine because we’ve given them immunity from prosecution if it goes wrong.,pharma
"Bill Gates is full of shit, why do we have someone who is not a doctor in charge of finding a vaccine? America is looking really stupid right about now.",pharma
People will argue that they should be fine if they are vaccinated. This thinking misses the point completely. It is the fine that is illegal (violates charter rights) and will get thrown out in court.,side-effect
you didn’t mention that now 1 out of 5 healthy children all of a sudden having neurological issues after getting the vaccines! you didn’t mention how people getting the flu vaccine get the flu and you didn’t mention how my sister in law who had the shingles vaccine got shingles,side-effect
▪ DOUBTS ABOUT ASTRAZENECA VACCINE Relibility of vaccine results eroding after AstraZeneca admits mistake in dosage #COVID19 #vaccine #AstraZeneca https://t.co/cILgzXQygE,ineffective
Too good to be True Moderna claims 100% efficacy ⚠️🚫 FALSE FLAG of Safety We KNOW IT NOT TRUE Heart Inflammation https://t.co/O8TjsA0wGJ @abcnews https://t.co/ZpGbNpYsIT,side-effect
"COVID-19 also presents some unique dangers for vaccine safety. Based on how the virus behaves when it infects some people, there’s a chance a vaccine could dangerously overstimulate the immune system, a reaction called #immuneenhancement.",side-effect
"I am not goin to play russian roulette with my life for a vaccine, do I need to risk my life, we already risk our life by just living every day now never knowing if we get the virus or not, the vaccines don't even help! vaccinated people still get covid!",country side-effect ineffective
E tu Janice? You’re actually drinking the vaccine koolaid? Sad....it’s not necessary let alone safe!,unnecessary
"My take on the vaccine. Some are dying, some are hospitalized, some have reactions but not deadly. Next flu season, people who took the vaccine will get a big surprise. This vaccine will kill more than Covid-19 and at a much faster rate. Depopulation achieved.",side-effect
"@NewshubPolitics Well, he is lying. I just heard on the news today from someone in the health sector overseas warning not put faith in a vaccine any time soon. It’s yet to pass safety requirements and current Oxford group has temporarily suspended research due to an adverse reaction.",rushed side-effect
@JamesFallows @goodyk ... and yet the government didn’t shut down the country even though the virus effected children. And those vaccines were test on animals. The Wuhan Virus vaccine has not been test on animals. It doesn’t effect kids and has a 99.98% recovery rate. Do you guys work for Fauci?,rushed ineffective
"@helenhims @ArthurLeeKing @KirstieMAllsopp You are under the impression vaccines mean you wont catch covid which is not proven. People can catch it more than once for example, also immunity isnt assured for ever by a vaccine and no one is clear how long it will last.",ineffective
"@nastyoldmrpike @GeodanNew Any vaccine cannot possibly be tested for long term safety, these things normally take years to test. How will it be effective? They cant even cure the common cold after years of research so what makes you believe they can cure Covid in a few months? No thanks.",rushed
Ben Stein Issues Dire Warning About What Covid ‘Vaccine’ Did To Him In This Must See Video - https://t.co/7o792tFfiZ,side-effect
"Measles claimed 207,500 lives in 2019 (WHO estimate) - yet your kid can go to school (or anywhere) without a vaccination. Ontario wants to take away your freedoms if you refuse a rushed Covid vaccine 😮 That's insane and probably illegal.",unnecessary rushed mandatory
@HerbalBitters @Bee42681881 @SandraWeeden Moderna vax is claimed to be 94 % efficient. Folk over 70 + have a 95% chance off surviving covid. People must be mad to take the risk on an untested vax.,rushed
"@Lareina81848987 @RealMattCouch You have not seen anything yet until@you know all about the Covid 19 vaccine. Moderna, this vaccine in my opinion is the Mark of the Beast. It will alter your DNA/RNA. Like someone in the movie The Matrix. Part human part robot. It will program your entire body and can be program",conspiracy side-effect
@Fryling_N @hugodejonge @AstraZeneca Here in the Netherlands we are not happy at all with the vaccins Hugo the Jonge bought (and way too much money!! :( ),pharma
"i’m really not getting the covid vaccine, something just not right about it",none
"@hughhewitt If you’re vaccinated why are you worried about me, doesn’t the vaccine give you ultimate protection?",ineffective
"@reopenpa I’m not even against the vaccine, but this is crazy. No one knows if there are any long-term impacts from it and this age group has almost no risk from Covid.",ineffective
@MichaelYeadon3 Pfizer trial 8 people that had the vax- got covid- just 8 people -you can probably play Russian roulette with one round in a six shooter and have the first 8 people survive. most dangerous part of a vax -what happens when vax'd patients get live virus https://t.co/Gf2r1fspWN,side-effect
@harms_marianne @DjonSmitz @dvillella @realDonaldTrump We actually need to be exposed to Corona and build immunity....the only ones who should ISOLATE are high risk and nursing homes. Our immune systems are meant to handle these things ! No worries ! No vaccines.,unnecessary
"@jojo48362381 See this is where you think wrong, A vaccine is not a save all. The virus has mutated many times and will just keep mutating like the flu where the vaccine becomes useless.",ineffective
"@votevets It’s ok, Europe is already talking about requiring Vaccination proof before US citizens can travel over there. It’s cool put up a fight here, it’s people right....but don’t expect the world to care if we can’t travel lol",mandatory
"@JackieShandu I Agree totally. The politics of this country is highly monetized it's such a pity.  We are hearing that Cyril is busy having talks with Bill Gates on vaccine, and our so called revolutionary opposition are quiet.",political
@jjfox123 @DonutDozy @SurvivingMenop1 The Government document is from October 2020 prior to the Covid vaccine being approved. If you research you will see that the Government and the Pharmaceutical companies declared on approval they would have no liability as the gene therapy (vaccine) is EXPERIMENTAL.,rushed conspiracy
Pro-vaccination don’t get me wrong but will I be getting the COVID vaccine in the next year...absolutely not,none
"@BergyBadger @MollyBeck The mRNA vaccine causes diabetes and Alzheimer's, nobody that doesn't take it will be left behind, at least we will remember life before covid because we still have our memory! But thanks, Alaska is beautiful, and way more free than Madison  https://t.co/uFA2YViPDw",side-effect
@ChuckCallesto No way! COVID has a 0.26% fatality rate for those infected according to the CDC. there is not a health reason to require a vaccine for a FLU!   Fluzone on its insert says fatality rate for complications is 0.5%. You are twice as likely to die from a flu shot than COVID,unnecessary side-effect
"#VAERS 60y♂️#Moderna #Covidvaccine #CJD #priondisease #neurotwitter ""developed delirium and was in ER ... outpatient MRI brain suggested Creutzfeldt Jakob disease CJD. ... seen by neurology, who confirmed CJD ... is now nonverbal ... going into hospice"" https://t.co/qDrmuN1vKh",side-effect
"I can't believe anyone really believes we'll ever get a Covid cure. Even if we get a vaccine, do you really trust our government to secure it, distribute it, and affordably price it? Kidding yourselves.",political
@realDonaldTrump the Covid 19 situation was created by those in the powers that be to manipulate society into taking a forced vaccine and giving up their rights. All crimes against humanity. MM arr,mandatory
"@KittenIncognito @SoCalEdgyGal Me either! If the vaccine is failing they will never let us know, they won’t tell us if it’s making people sick. They act like it’s going to wipe this virus out. They don’t even know how long it would be effective for, why take that chance",side-effect
@BILDERBERG_GP @AndyWells7 @steveb52890447 Why do we need a vaccine for a virus with 99.9 % survival rate? Flu vaccines have quite limited efficacy.,unnecessary ineffective
@brave3564445 @photoartist9 That’s not what Fauci is saying. He’s saying masks should continue to be worn bc having the vaccine doesn’t mean you can’t still contract covid.  So what good are these vaccines?,ineffective
"@InsidersABC @David_Speers @BradHazzard @mpbowers @shalailah @CaseyBriggs @bridgeyb @markgkenny @kt_calderwood GMO Human Adenovirus #COVID19 vaccine made by #Janssen is also linked to #GBS The Pharmacovigilance Risk Assessment Committee of the European Medicines Agency concludes that ""that a causal relationship between COVID-19 Vaccine Janssen and GBS is possible."" https://t.co/Wq5umS81sz",side-effect
"@LeeWilkinson23 @koigi3 @BorisJohnson The covid vaccine is not a vaccine. It is ""genetic therapy"", ie, genetic mutation. Don't expect to turn into the Hulk though. It is more likely to make you more susceptible to the next round of manufactured flu.",conspiracy ineffective side-effect
"@rob_miller12345 @BarbyMoney @simondolan This vaccine doesn’t prevent spread just symptoms, so how would you get herd immunity with the vaccine. COVID-19 is fake it’s just the flu. We’ve been scammed to take the poison, which will probably spread a real virus.",conspiracy ineffective side-effect
"@phatrick1 @christianllamar @RSBNetwork Another oops, nothing wrong with pumping polyethylene glycol into your arm is there? The Food and Drug Administration (FDA) is investigating allergic reactions to the Pfizer coronavirus vaccine that were reported in multiple states after it began to be administered this week.",side-effect
"Didnt they say if you already caught covid you are immune to it, why i need a vaccine?",unnecessary
"@Scottish_Lefty @BreesAnna @SkyNews Regarding Covid 19 existing, yes there's a debate on that too since it's never been properly isolated or purified to fulfill the Koch's Postulates, it's therefore impossible to reliably test for Covid 19 or produce a vaccine, so the big question is what is the vaccine really for?",ineffective
"@vanguardngrnews We are the guinea pigs for testing the Chinese virus? The people who have minimal Covid 19 affliction are to be used as testing tools, Is this not a stupid idea? This is not adding up, the vaccine ought to be used on Chinese, Spanish, French, English and Americans before Africans",rushed
"@shinelamont @TechDaddy @cnnbrk Because it’s dumb as rocks. So you’ve bought the Oxford vaccine. You vaccinate all your people. The virus is still out there ready to re enter the US when the vaccine loses effectiveness, ready to mutate so the vaccine doesn’t work. The vaccine needs to hammer this virus quick",ineffective
"@Cassie84959408 @RexChapman Pfizer, Moderna and all those companies making vaccines are for-profit.   You guys want equality and humanity??   No country should be allowed to over-order vaccines just because they have the money to do it.  Only take what you need.  THAT is humanity.",pharma
"6/ The Israelis were convinced that the efficacy of the @pfizer #vaccine was waning over time, especially in people over 60 years of age. They felt there was a clear decrease 6 mos after full vax. MORE https://t.co/tjAahlL1Wd",ineffective
I am now CONVINCED trying to slow the spread is about stopping heard immunity. Why would that be cause every person that recovers from the virus is 1 less taking big pharma vaccine and millions of $ in revenue lost? @SharylAttkisson @livinlowcarbman fauci now says no to plasma?,pharma
"@peacenikjohn @nikoCSFB Yeah I'll be just fine with normal, no vaccine, no covid tests just full bars and dancing",none
"I don't want no Russian vaccine injected into me!! No thank you, Putin!! Give it your friend, Modi!",country
"@ang__johnson I fully respect choice not to have an experimental vaccine, I haven’t had it for both experimental and uncertainty of effect after previous issues. Those who don’t wear a mask, respect social distancing, but walking round supermarkets no one seems to. protect yourself.",mandatory
@sadgorl2000 Well yeah it doesn’t prevent the virus from entering your body but the fact anyone would even entertain the thought that a vaccine is a magic virus barrier just shows how incredibly stupid and uneducated people are,ineffective
"#CovidVaccine: @AstraZeneca will be immune from prosecution: OTOH, the human guinea pigs they test it on may or may not be rendered immune from infection with SARS-CoV-2 and they may or may not be harmed for life by an inadequately tested vaccine.",rushed side-effect
@MattHancock @BorisJohnson With 2nd dose of vaccine given much later than recommended what’s the chance covid will circumvent the vaccine and become far worse. I’m truly worried,ineffective
@CTWatching @V8Biturbooo @josh90_josh90 @CryptoMichNL Theta are saying you will need to get vaccine every half a year or once a year like for season flu. Dobr get ne wrong im not anti vaccine but i think this wont solve the problem long term....this lockdowns and limitations may last for at least one more years imo.,unnecessary
@MattHancock @MHRAgovuk @pfizer @BioNTech_Group Why has it been granted that they are exempt from any issues arising from taking the vaccine? If it is 100% safe and has been properly tested then surely this isn't necessary,pharma rushed
"@mj196410 yes. i can appreciate that not trying to be judgemental at all, it's just that people don't seem to be investing much effort into investigating simple, easily accessible truths about such things as this experimental 'vaccine' and, as a species, we forgive ourselves too quickly",none
"@citizentvkenya Wrong caption.EVERY COUNTRY’s target as of today is - ALL MY CITIZENS SHOULD GET THE VACCINE. Except Kenya ofcourse! My comrades falling left, right and centre ! Where are the right vaccines? Oxford gives no protection against SA strain if I take it I am stuck to it!I want better",ineffective
🔴 LIVE: President Trump URGENT News Conference from the White House THIS SOUNDS LIKE MANDATED MASKS & MANDATED GATES-MODERNA VACCINES without long-term studies on the adverse effects as one vax doesn't fit all - https://t.co/EZIRJtfW2f via @YouTube,mandatory rushed side-effect
"Andrew Cuomo: ‘Post-COVID Future’ Depends on Getting Vaccines ‘in People’s Arms’ Cuomo you are a killer you sent Covid patience nursing homes w open Beds in NY just for that purpose, Go to Hell w your kind ! ⁦⁦@newyorkpost⁩ https://t.co/ETSXHiNLsX",political
@wkyc If the vaccine really works why do ppl who are vaccinated care if others aren’t vaccinated? I used to get the flu shot I never cared if anyone else got it,ineffective
"2/1 ""A woman died in New Zealand after being vaccinated with Pfizer, the Telegraph writes. The case was reported by the health ministry after an independent body investigated the cause of the woman’s death. "" https://t.co/mMdkFhsxKN",side-effect
Pfizer Forecasts Roughly $15 Billion in Revenue for 2021 From COVID-19 Vaccine Pfizer expects total revenue in sales of CCP virus vaccines it has developed with Germany’s BioNTech to generate roughly $15 billion in 2021. They pray on the sick. https://t.co/aTWfCmSZjR,pharma
Why is there not vaccine for malaria but COVID which is new is about to have a vaccine?,rushed
"@ColinDMello I do not feel comfortable with Astra Zeneca anymore either. I can't stand Ford but, this vaccine has had one problem after another.",side-effect
"If we’re all locked down again wearing masks and college, school and work are all online, there is zero reason to get a flu shot. Unless the COVID vaccine is near I cannot see our government killing big Pharmas flu shot landfall of cash.",pharma
@DanYell2511 Trump is gonna push #Russia’s vaccine on us while he tries to dismantle social security and all our elderly citizens because #covid wasn’t knocking them@off fast enough!!,mandatory country political
"@obinna95392238 The continent w/ the least deaths despite the most predictions is once again selling its citizens out🤣 COVID-19 was really meant for us (man made virus with “HIV” link)-god said, “return to sender.” Haven’t we learned from the PFIZER vaccine that destroyed children in the North?",side-effect
"Thank you Darling. OK Team Humanity, here’s my video explanation of the terrifying new vaccine technology that turns the human body into an Operating System - reporting of fact, fact sourced in NIH, Google, MIT, that nonetheless got me kicked off Twitter for 12 hours.",side-effect
"""You're going to feel a small stick...and you're vaccinated. If you start to grow a penis don't worry its a normal side effect. It will rocket off your body and explode on its own in a week to 10 days. Sign this release form please"" https://t.co/8ZVBaDrxXi",side-effect
@RobertKennedyJr @dasoulassassin I don’t think children should take the vaccine although we have a stronger immunition system . But it could damage them to ever feel inside or jeans so boldly function,side-effect
@TheWuhanClan @DeItaOne Don’t let the truth get in the way of a good story. I want to know how long immunity lasts. Will you need a booster every month? Moderna only had adverse events in 40% of recipients. That doesn’t sound feasible.,side-effect
"Hey, @pfizer, what’s the plan to compensate women if your vaccine candidate destroys their fertility permanently? I can’t advise any young women to take your vaccine candidate. @ScottGottliebMD @BioNTech_Group https://t.co/5YxrlHAtMc",side-effect
@LisaCheshireUK @AlgorithmDancer mRNA has never been used on humans until 2020. Do you seriously not question why its been around 30 yrs without once being tested on a human? Moderna has never even made a vaccine for humans before. This vaccine is only even able to be used through an emergency use clause.,rushed
Dedicated to ⁦@ShekharGupta⁩ .. “A re-analysis of data from the Israeli Health Ministry concluded Pfizer’s COVID vaccine killed “about 40 times more (elderly) people than the disease itself ..” during a recent five-weeks 260x more younger people” https://t.co/2FMp8FHa4O,side-effect
@AlvinMwanza4 @akams_ @iFortknox Read up on the sources of funding of whatever we're calling the AstraZeneca vaccine. It is not like they did so in good faith or that they had a choice. It's business.,pharma
"@SpeakerPelosi Be careful now with the Pfizer vaccine, not is 100%effective against the covid-19. I don't want to become a mouse of Pfizer. https://t.co/8HGaKaQpZz",ineffective
No African country there but we have @BillGates who want to test his vaccine in #Africa. #COVID19Africa #COVID19Ethiopia,pharma
In a year or less we gonna see all the negative effects of the covid vaccine 🥴 this is all a ploy...yall not waking up tho.,side-effect
"Gee, these are so good for you. Men sterile, womenm sterile, what can go wrong? California halts injections of Moderna Covid vaccine batch due to ‘higher-than-usual number of adverse events’ — RT USA News https://t.co/2gjRTrPGA2",side-effect
Only a fool would believe a vaccine this quickly developed is SAFE! Another political ploy to get the greatest con man that ever lived a get of a jail free card..there will be no vaccine for COVID before the election.,political rushed
"@UN @BillGates @WHOAFRO @WHOAFRO is the most corrupted doctors ever witnessed on earth since Dr Mengel Nazi. Test of coronavirus came back positive on parrots, sheeps, watermelons... billgates is financing non doctors organisation like Moderna.. and trying to call himself humanitary helpers :-/",conspiracy political pharma
@WayneDupreeShow This is not about mitigating Covid - it’s a tactical move toward mandating the vaccine and COVID passports,mandatory
"Title: Suspicions grow that nanoparticles in Pfizer vaccine trigger allergic reactions 💬: From the title I thought this was a ""nanoparticles are growing"" vaccine that allows us to have some ""nanny effects"" to control some kind of brain health disorder.",side-effect conspiracy ingredients
The first Covid vaccine that I definitely will not take 🏆,none
"@Blacksh90139340 @MzwaneleManyi @degree_ls When this Virus get u on a Ventilator or ICU level, u must know that are chances of escaping are very small.  If u want a vaccine just make a call to the Bill Gate foundation they will be happy to give an injection of that u have no idea of what the long term effect will be.",side-effect
A Covid vaccine is NOT the silver bullet it's being made out to be This virus IS under control NOW and I am fed up with Whitty keeping his importance to the fore  https://t.co/2fOlmc934O via @MailOnline,unnecessary
@realDonaldTrump Tell me Sir.. ..Why would you be willing to distribute A vaccine by Bill Gates' company Moderna?....He has nano chip technology in these vaccines and he has stated he wants to eradicate 6 billion people...Just wondering God Bless you Sir!,conspiracy ingredients
"Hate to say it, but I'm not taking a US-created vaccine for Covid. Not with Trump in charge. It will be invented by some company owned by Jared and made by a company owned by Ivanka.   When a normal country approves a vaccine, then I'll take that vaccine.",country political
BREAKING: FDA and CDC announce that they are calling for an immediate pause on the use of the single-dose Johnson & Johnson vaccine. https://t.co/tyyFES4GcI,side-effect
"@KonstantinKisin If the govt has such confidence in the vaccine, then make it freely available to everyone who wants it and drop all the covid isolating guidelines so the country can live & work unfettered and avoid further risk to the economy and non covid related health issues.",political
"Gates: ""we won’t go back to normal until a vaccine has gotten out to the entire world."" You first Bill. Me, no way. He's one evil dude... Freedom Advocate Explains How To Say NO If COVID-19 Vaccination Becomes Mandatory - https://t.co/0QI8PbMSrM",mandatory
"""Very Healthy 56-Year-Old"" Miami Obstetrician Dies after Being Injected with the Experimental Pfizer COVID Vaccine https://t.co/vQBrewY8Rg",side-effect
"@inatiswas_Pip @BorisJohnson I have never obeyed any of these draconian rules, and hygiene continues as it should have done before this mess. I have no intention to start in the future or get the vaccine. We can live wisely with covid without been political prisoner's Save yourself!",political mandatory
"I am NOT, in any way, a conspiracy theorist. I will believe whatever is corroborated with FACTS. But conspiracy theorists LONG AGO warned that the Government would exaggerate #coronavirus & that they would make us all have a vaccine. How we laughed at them! #COVID #CovidVaccine",political
Does anyone else here in Twitter get the feeling that a bad Corona 19 Vaccine 💉 is what starts the Zombie 🧟‍♀️ Apocalypse?? https://t.co/0KRxAdDh1S,conspiracy
